word1,word2,freq
=,character,6845474
character,0,6845442
=,list,2281840
=,0,1184914
=,117,1140907
=,14,141367
=,15,151534
=,237,1140907
=,26,1178003
=,36,43414
=,6,1175006
=,7,1179299
0,datetimestamp,1140907
0,description,1140907
0,heading,1140907
0,id,1140907
0,language,1140907
0,origin,1140407
117,wday,1140407
14,mday,100500
237,isdst,1140407
26,mon,1140407
36,hour,23500
6,yday,1140407
7,year,1140407
author,=,1140407
content,=,1140407
datetimestamp,=,1140407
description,=,1140407
heading,=,1140407
hour,=,1140407
id,=,1140407
isdst,=,1140407
language,=,1140407
list,author,1140407
list,content,1140407
list,sec,1140407
mday,=,1140407
meta,=,1140407
min,=,1140407
mon,=,1140407
origin,=,1140407
sec,=,1140407
wday,=,1140407
yday,=,1140407
year,=,1140407
0,list,1138125
of,the,88305
in,the,85472
to,the,46602
=,i,94514
on,the,44131
for,the,47555
=,the,43662
and,the,26299
it,is,21129
it,was,22972
to,be,39380
in,a,25317
is,a,24421
from,the,17723
this,is,15158
i,have,25029
at,the,30893
with,the,22130
as,a,13367
is,the,18645
i,was,23558
with,a,16863
you,can,12614
and,i,22511
i,am,22709
to,make,10878
and,a,11541
that,i,14941
to,a,11217
for,a,22358
will,be,18700
=,this,11871
15,5.13E+12,24
15,5.16E+12,37
15,5.24E+12,34
5.13E+12,min,659
5.16E+12,min,714
5.24E+12,min,626
able,to,6032
i,think,15534
of,a,16404
15,4.85E+12,21
15,4.86E+12,17
15,4.87E+12,14
15,4.92E+12,14
15,4.97E+12,14
15,4.98E+12,14
15,5.00E+12,14
15,5.01E+12,14
15,5.02E+12,14
15,5.03E+12,14
15,5.04E+11,14
15,5.05E+12,14
15,5.06E+12,14
15,5.08E+12,14
15,5.09E+11,14
15,5.11E+11,14
15,5.12E+12,22
15,5.14E+12,30
15,5.15E+12,35
15,5.17E+12,36
15,5.18E+12,35
4.85E+12,min,582
4.86E+12,min,665
4.87E+12,min,569
4.92E+12,min,543
4.97E+12,min,604
4.98E+12,min,616
5.00E+12,min,591
5.01E+12,min,615
5.02E+12,min,599
5.03E+12,min,572
5.04E+11,min,606
5.05E+12,min,640
5.06E+12,min,617
5.08E+12,min,710
5.09E+11,min,638
5.11E+11,min,629
5.12E+12,min,642
5.14E+12,min,712
5.15E+12,min,722
5.17E+12,min,660
5.18E+12,min,676
i,had,10728
that,the,11377
to,get,17999
was,a,12531
you,are,13203
=,and,11753
15,4.88E+12,13
15,4.93E+11,13
15,4.96E+12,13
15,5.07E+12,13
4.88E+12,min,561
4.93E+11,min,544
4.96E+12,min,588
5.07E+12,min,622
have,a,19932
into,the,7377
out,of,13169
the,most,7019
15,4.99E+12,12
4.99E+12,min,674
a,lot,10635
but,it,4817
by,the,11827
in,my,12179
of,my,12699
so,i,9139
