word1,freq
=,30834846
0,12043888
4489421844,862
44894218445,125
1.44911E+11,122
14491081238,832
24490356445,771
2.44904E+11,114
3.44896E+11,124
34489631653,776
4448890686,744
4.44889E+11,127
5.44906E+11,113
54490566254,742
64489841461,711
6.44898E+11,128
7.44891E+11,134
74489116669,727
84490776062,906
9.44901E+11,121
9449005127,779
1.04489E+11,763
1.04489E+12,111
11449098587,778
1.14491E+12,106
1.2449E+12,90
1.2449E+11,803
1.3449E+11,776
1.3449E+12,94
1.44489E+12,92
1.44489E+11,804
1.5449E+11,814
1.5449E+12,99
1.6449E+12,107
1.6449E+11,798
1.74489E+11,793
1.74489E+12,115
1.84491E+12,125
1.84491E+11,798
1.9449E+11,785
1.9449E+12,144
2.04489E+12,171
20448923111,790
2.14491E+12,159
2.14491E+11,739
22449016571,745
2.2449E+12,153
2.34489E+11,868
2.44491E+11,713
2.44491E+12,170
2.5449E+12,156
2.5449E+11,732
2.6449E+11,733
2.6449E+12,166
2.74489E+12,165
2.74489E+11,745
2.84491E+11,748
2.84491E+12,171
2.84491E+14,2
2.9449E+14,9
2.9449E+12,160
2.9449E+11,786
3.04489E+11,781
3.04489E+14,10
3.04489E+12,157
3.14491E+11,726
3.14491E+14,9
3.14491E+12,165
3.2449E+11,864
3.2449E+14,4
3.34489E+12,124
3.34489E+14,9
3.34489E+11,721
3.44491E+12,131
3.44491E+14,11
3.44491E+11,677
3.5449E+11,676
3.5449E+14,14
3.5449E+12,136
3.6449E+14,14
3.6449E+12,132
3.6449E+11,716
3.74489E+11,690
3.74489E+12,129
3.74489E+14,14
3.8449E+12,123
3.8449E+14,13
38449048996,723
3.9449E+11,750
3.9449E+12,120
3.9449E+14,14
4.04489E+14,14
4.04489E+12,121
4.04489E+11,745
4.14491E+11,724
4.14491E+14,14
4.14491E+12,114
4.2449E+14,9
4.2449E+12,124
4.2449E+11,755
4.34489E+11,756
4.34489E+12,141
4.34489E+14,8
4.44491E+11,778
4.44491E+12,131
4.44491E+14,14
4.5449E+12,147
4.5449E+14,14
4.5449E+11,788
4.64489E+11,780
4.64489E+14,13
4.64489E+12,160
4.74491E+14,14
4.74491E+12,166
4.74491E+11,777
4.8449E+11,762
4.8449E+14,14
4.8449E+12,184
4.9449E+12,194
4.9449E+14,10
4944896698,783
5.04489E+11,799
5.04489E+12,197
5.04489E+14,12
5.14491E+12,205
5.14491E+14,14
5.14491E+11,779
5.2449E+11,745
5.2449E+14,9
5.2449E+12,158
5.34489E+14,14
5.34489E+12,146
5.34489E+11,720
5.44491E+14,14
5.44491E+11,862
5.5449E+12,176
5.5449E+14,13
5.5449E+11,706
5.64489E+11,844
5.64489E+14,13
5.74491E+11,683
5.74491E+12,173
5.74491E+14,14
5.8449E+14,14
5.8449E+12,153
5.8449E+11,663
5.9449E+11,671
5.9449E+14,27
5.9449E+12,140
6.04489E+14,28
6.04489E+12,135
60448884964,678
6.14491E+11,703
6.14491E+12,132
6.14491E+14,26
6.2449E+12,126
6.2449E+14,26
6.2449E+11,679
6.34489E+11,652
6.34489E+12,91
6.34489E+14,26
6.44491E+14,28
6.44491E+12,121
6.44491E+11,661
6.5449E+11,682
6.5449E+14,24
6.5449E+12,133
6.64489E+14,28
6.64489E+12,122
6.64489E+11,679
6.74491E+12,122
6.74491E+14,28
67449092865,622
6.8449E+11,629
6.8449E+12,106
6.8449E+14,29
6.94489E+12,116
6.94489E+14,21
6.94489E+11,655
7.04491E+11,649
7.04491E+14,14
7.04491E+12,116
7.1449E+14,13
7.1449E+12,113
7.1449E+11,628
7.2449E+11,633
7.2449E+14,15
7.2449E+12,105
7.34489E+12,105
7.34489E+14,8
7.34489E+11,656
7.44491E+11,627
7.44491E+12,95
7.44491E+14,6
7.5449E+12,113
7.5449E+11,571
7.64489E+11,597
7.64489E+12,133
7.74491E+11,626
7.74491E+14,3
7.74491E+12,112
7.8449E+13,14
78449010849,777
7.94489E+12,148
7.94489E+13,3
7.94489E+11,662
8.04491E+12,158
8.04491E+11,670
8.1449E+11,659
8.1449E+12,142
8.2449E+14,10
8.2449E+12,157
8.2449E+11,670
8.34489E+11,706
8.34489E+14,14
8.34489E+12,136
8.44491E+14,12
8.44491E+12,122
8.44491E+11,695
8.5449E+11,738
8.5449E+12,143
8.64489E+12,152
8.64489E+11,716
8.74491E+11,829
8.8449E+12,150
8.8449E+11,693
89448928833,678
8.94489E+12,149
9.04491E+11,675
9.04491E+12,152
9.1449E+12,144
9.1449E+11,697
9.24489E+11,659
9.24489E+12,140
9.34491E+12,126
9.34491E+11,656
9.4449E+11,681
9.4449E+12,148
9.5449E+12,147
9.5449E+11,704
9.64489E+11,728
9.64489E+12,148
9.74491E+12,139
9.74491E+11,716
9.8449E+11,746
9.8449E+12,139
9.94489E+12,122
9.94489E+11,770
1,55432
1.00E+11,14
1.00E+13,13
1.00E+12,9
1.00E+12,13
1.00E+12,10
1.00E+13,13
1.00E+12,9
1.00E+12,6
1.00E+12,11
1.00E+12,9
1.00E+13,14
1.00E+12,2
1.00E+12,14
1.00E+11,12
1.00E+11,9
1.00E+12,9
1.00E+11,12
1.00E+11,12
1.00E+12,10
1.00E+12,488
1.00E+14,12
1.00E+13,5
1.00E+11,12
1.00E+11,15
1.01E+12,11
1.01E+12,23
1.01E+12,9
1.01E+13,11
1.01E+12,9
1.01E+11,13
1.01E+12,9
1.01E+12,14
1.01E+12,3
1.01E+11,9
1.01E+11,8
1.01E+12,9
1.01E+12,13
1.01E+12,14
1.01E+12,14
1.01E+12,12
1.01E+12,12
1.01E+12,12
1.01E+12,9
1.01E+11,13
1.01E+13,14
1.01E+12,8
1.01E+12,13
1.01E+11,11
1.01E+13,14
1.01E+12,13
1.01E+12,9
1.01E+12,13
1.01E+11,9
1.01E+13,14
1.01E+12,12
1.01E+12,12
1.01E+11,12
1.01E+12,10
1.01E+12,9
1.01E+12,12
1.01E+11,13
1.01E+12,4
1.01E+12,443
1.01E+13,56
1.01E+14,11
1.01E+12,11
1.01E+12,13
1.02E+11,15
1.02E+12,11
1.02E+11,3
1.02E+11,2
1.02E+12,11
1.02E+12,13
1.02E+12,13
1.02E+13,12
1.02E+12,8
1.02E+13,3
1.02E+12,9
1.02E+12,14
1.02E+12,4
1.02E+12,9
1.02E+12,9
1.02E+13,13
1.02E+12,13
1.02E+12,13
1.02E+12,11
1.02E+12,13
1.02E+12,11
1.02E+12,13
1.02E+13,14
1.02E+12,6
1.02E+12,9
1.02E+12,13
1.02E+11,14
1.02E+12,11
1.02E+13,2
1.02E+12,5
1.02E+12,10
1.02E+12,13
1.02E+12,9
1.02E+13,14
1.02E+12,5
1.02E+12,12
1.02E+12,10
1.02E+11,5
1.02E+12,9
1.02E+11,13
1.02E+12,7
1.02E+12,13
1.02E+12,498
1.02E+12,13
1.03E+12,12
1.03E+11,5
1.03E+11,7
1.03E+12,12
1.03E+12,12
1.03E+11,13
1.03E+11,8
1.03E+13,6
1.03E+12,9
1.03E+13,11
1.03E+12,8
1.03E+12,14
1.03E+12,4
1.03E+12,9
1.03E+12,8
1.03E+12,5
1.03E+12,14
1.03E+12,14
1.03E+12,14
1.03E+12,13
1.03E+12,13
1.03E+12,12
1.03E+12,12
1.03E+13,14
1.03E+13,9
1.03E+12,11
1.03E+12,11
1.03E+12,13
1.03E+12,6
1.03E+12,13
1.03E+12,9
1.03E+13,14
1.03E+12,14
1.03E+11,14
1.03E+12,12
1.03E+12,13
1.03E+12,7
1.03E+12,10
1.03E+12,9
1.03E+12,487
1.03E+13,63
1.03E+14,10
1.03E+12,15
1.03E+11,8
1.04E+11,11
1.04E+12,4
1.04E+12,11
1.04E+12,12
1.04E+12,6
1.04E+12,8
1.04E+12,11
1.04E+12,9
1.04E+13,13
1.04E+12,11
1.04E+12,13
1.04E+12,4
1.04E+12,8
1.04E+12,9
1.04E+12,8
1.04E+13,12
1.04E+12,13
1.04E+12,14
1.04E+12,11
1.04E+11,14
1.04E+11,8
1.04E+11,6
1.04E+12,10
1.04E+11,11
1.04E+13,13
1.04E+13,8
1.04E+12,10
1.04E+12,13
1.04E+12,11
1.04E+11,11
1.04E+11,13
1.04E+12,12
1.04E+12,13
1.04E+12,9
1.04E+12,10
1.04E+13,14
1.04E+12,11
1.04E+11,12
1.04E+12,9
1.04E+11,9
1.04E+12,9
1.04E+12,9
1.04E+12,13
1.04E+11,13
1.04E+12,483
1.04E+13,67
1.04E+11,333
1.04E+12,88
1.04E+14,6
1.05E+12,11
1.05E+12,5
1.05E+12,11
1.05E+11,7
1.05E+11,14
1.05E+12,9
1.05E+13,12
1.05E+12,9
1.05E+13,13
1.05E+12,12
1.05E+12,4
1.05E+12,9
1.05E+11,9
1.05E+12,12
1.05E+13,13
1.05E+11,10
1.05E+12,4
1.05E+12,14
1.05E+11,13
1.05E+12,13
1.05E+12,13
1.05E+13,14
1.05E+11,14
1.05E+13,9
1.05E+12,2
1.05E+12,10
1.05E+12,10
1.05E+12,13
1.05E+12,11
1.05E+11,4
1.05E+12,12
1.05E+12,12
1.05E+13,14
1.05E+12,13
1.05E+12,13
1.05E+12,9
1.05E+12,6
1.05E+12,9
1.05E+12,9
1.05E+12,497
1.05E+13,58
1.05E+12,15
1.06E+12,11
1.06E+12,6
1.06E+11,10
1.06E+12,3
1.06E+12,12
1.06E+12,8
1.06E+12,8
1.06E+12,11
1.06E+11,9
1.06E+13,11
1.06E+11,12
1.06E+12,14
1.06E+12,4
1.06E+12,8
1.06E+12,9
1.06E+12,8
1.06E+13,11
1.06E+13,13
1.06E+12,14
1.06E+12,7
1.06E+12,13
1.06E+12,12
1.06E+12,11
1.06E+11,9
1.06E+12,12
1.06E+13,7
1.06E+12,3
1.06E+13,14
1.06E+13,9
1.06E+12,9
1.06E+12,12
1.06E+12,13
1.06E+12,11
1.06E+12,13
1.06E+11,12
1.06E+12,13
1.06E+13,15
1.06E+11,9
1.06E+12,12
1.06E+12,14
1.06E+11,9
1.06E+11,11
1.06E+12,10
1.06E+12,13
1.06E+12,534
1.06E+13,55
1.07E+12,12
1.07E+12,11
1.07E+12,10
1.07E+12,13
1.07E+12,8
1.07E+11,10
1.07E+13,12
1.07E+12,9
1.07E+13,11
1.07E+11,14
1.07E+12,10
1.07E+12,14
1.07E+12,4
1.07E+11,6
1.07E+12,9
1.07E+12,13
1.07E+13,11
1.07E+13,13
1.07E+12,13
1.07E+12,3
1.07E+12,11
1.07E+12,7
